Receipt,Model,Item #,Item Name,Quantity,Unit Price,Item Total
IMG_6380.jpeg,grok-4-fast,1,Buffet,2,,$84.37
IMG_6380.jpeg,gemini-3-flash,1,ADULT FULL BUFFET,2,$38.00,$76.00
IMG_6380.jpeg,claude-haiku-4.5,1,2 ADULT FULL BUFFET,2,$23.50,$47.00
IMG_6380.jpeg,gpt-4o-mini,1,2 ADULT FULL BUFFET,2,$38.00,$76.00
IMG_6449.jpeg,grok-4-fast,1,Unknown item,1,$24.90,$24.90
IMG_6449.jpeg,gemini-3-flash,1,PIZ PEPPERONI,1,$17.99,$17.99
IMG_6449.jpeg,gemini-3-flash,2,PEPPERS GREEN,1,$2.49,$2.49
IMG_6449.jpeg,gemini-3-flash,3,WTR SMART 700ml BTL Smartwater 700ML PET,1,$4.75,$4.75
IMG_6449.jpeg,claude-haiku-4.5,1,TOMMY V'S PIZZA,1,,$7.99
IMG_6449.jpeg,claude-haiku-4.5,2,SAM DICED AP,1,,$2.49
IMG_6449.jpeg,claude-haiku-4.5,3,Meri Vala Sans,1,,$4.75
IMG_6449.jpeg,claude-haiku-4.5,4,1 W/R GREEN,1,,$7.00
IMG_6449.jpeg,claude-haiku-4.5,5,SMART 700m,1,,$7.00
IMG_6449.jpeg,gpt-4o-mini,1,PIZZA PEPPERONI,1,$17.99,$17.99
IMG_6449.jpeg,gpt-4o-mini,2,PEPPERS GREEN,1,$2.49,$2.49
IMG_6449.jpeg,gpt-4o-mini,3,SMART WATER 700ML PET,1,$4.15,$4.15
IMG_6656.jpeg,grok-4-fast,1,STIEGEL Sparkling,1,$2.00,$2.00
IMG_6656.jpeg,grok-4-fast,2,Wurstler with Sauerkraut,1,$2.60,$2.60
IMG_6656.jpeg,grok-4-fast,3,Hungarian Schnitzel,1,$2.60,$2.60
IMG_6656.jpeg,grok-4-fast,4,Apfel Strudel,3,$4.00,$12.00
IMG_6656.jpeg,gemini-3-flash,1,Stiegl Pint,2,$8.50,$17.00
IMG_6656.jpeg,gemini-3-flash,2,BOTTLE Sparkling,1,$6.00,$6.00
IMG_6656.jpeg,gemini-3-flash,3,Wurstteller,1,$26.50,$26.50
IMG_6656.jpeg,gemini-3-flash,4,Bratwurst with Sauerkraut,2,$9.50,$19.00
IMG_6656.jpeg,gemini-3-flash,5,Hungarian Goulash,2,$26.50,$53.00
IMG_6656.jpeg,gemini-3-flash,6,Chicken Schnitzel,1,$26.50,$26.50
IMG_6656.jpeg,gemini-3-flash,7,Apple Strudel,2,$8.50,$17.00
IMG_6656.jpeg,gemini-3-flash,8,Apfelkorn (Apple),3,$4.00,$12.00
IMG_6656.jpeg,gemini-3-flash,9,Marillen schnapps,3,$7.00,$21.00
IMG_6656.jpeg,claude-haiku-4.5,1,Stiegl Pint,2,$8.50,$17.00
IMG_6656.jpeg,claude-haiku-4.5,2,BOTTLE Sparkling,1,$6.00,$6.00
IMG_6656.jpeg,claude-haiku-4.5,3,Wurstteller,1,$26.50,$26.50
IMG_6656.jpeg,claude-haiku-4.5,4,Bratwurst w th Sauerkraut,2,$9.50,$19.00
IMG_6656.jpeg,claude-haiku-4.5,5,Hungarian Goulash,2,$26.50,$53.00
IMG_6656.jpeg,claude-haiku-4.5,6,Chicken Schnitzel,1,$26.50,$26.50
IMG_6656.jpeg,claude-haiku-4.5,7,Apple Strudel,2,$8.50,$17.00
IMG_6656.jpeg,claude-haiku-4.5,8,Apfelkorn (Apple),3,$4.00,$12.00
IMG_6656.jpeg,claude-haiku-4.5,9,Marillen schnapps,3,$7.00,$21.00
IMG_6656.jpeg,gpt-4o-mini,1,Stiegl Pint,2,$8.50,$17.00
IMG_6656.jpeg,gpt-4o-mini,2,BOTTLE Sparkling,1,$6.00,$6.00
IMG_6656.jpeg,gpt-4o-mini,3,Würsteller,1,$26.50,$26.50
IMG_6656.jpeg,gpt-4o-mini,4,Bratwurst with Sauerkraut,1,$19.50,$19.50
IMG_6656.jpeg,gpt-4o-mini,5,Hungarian Goulash,1,$26.50,$26.50
IMG_6656.jpeg,gpt-4o-mini,6,Chicken Schnitzel,1,$26.50,$26.50
IMG_6656.jpeg,gpt-4o-mini,7,Apple Strudel,2,$8.50,$17.00
IMG_6656.jpeg,gpt-4o-mini,8,Apfelkorn (Apple),1,$4.00,$4.00
IMG_6656.jpeg,gpt-4o-mini,9,Marillen schnapps,1,$7.00,$70.00
IMG_8246.jpeg,grok-4-fast,1,Item 1,1,$2.03,$2.03
IMG_8246.jpeg,grok-4-fast,2,Item 2,1,$2.17,$2.17
IMG_8246.jpeg,grok-4-fast,3,Item 3,1,$2.11,$2.11
IMG_8246.jpeg,grok-4-fast,4,Item 4,1,$16.54,$16.54
IMG_8246.jpeg,gemini-3-flash,1,ポークカレー Cカツ (Pork Curry with Cutlet),1,$9.17,$9.17
IMG_8246.jpeg,gemini-3-flash,2,ポークカレー 甘口 とんかつ 350 (Pork Curry Mild with Tonkatsu 350g),1,$11.48,$11.48
IMG_8246.jpeg,gemini-3-flash,3,サラダセット コーン (Salad Set Corn),1,$2.20,$2.20
IMG_8246.jpeg,claude-haiku-4.5,1,チーズ中盛,1,,$1178.00
IMG_8246.jpeg,claude-haiku-4.5,2,キムチ中盛,1,,$1178.00
IMG_8246.jpeg,claude-haiku-4.5,3,ウドンサラダ350,1,,$494.00
IMG_8246.jpeg,gpt-4o-mini,1,ポークカレー,1,$9.17,$9.17
IMG_8246.jpeg,gpt-4o-mini,2,ポークカレー,1,$11.48,$11.48
IMG_8246.jpeg,gpt-4o-mini,3,サラダセット,1,$3.50,$3.50
camphoto_341603450.jpg,grok-4-fast,0,(no items parsed),,,
camphoto_341603450.jpg,gemini-3-flash,1,Special D by 1 Small Parcel (0.888 kg),1,$11.25,$11.25
camphoto_341603450.jpg,claude-haiku-4.5,1,Special D by 1 Small Parcel,1,$11.25,$11.25
camphoto_341603450.jpg,gpt-4o-mini,1,Small Parcel,1,$11.25,$11.25
camphoto_959030623.jpg,grok-4-fast,1,Tofu Katsu Curry,1,$5.50,$5.50
camphoto_959030623.jpg,grok-4-fast,2,Miso Soup,1,$2.99,$2.99
camphoto_959030623.jpg,gemini-3-flash,1,Chicken Katsu Curry,1,$9.69,$9.69
camphoto_959030623.jpg,gemini-3-flash,2,Tonkatsu BBQ Gyoza,1,$5.99,$5.99
camphoto_959030623.jpg,gemini-3-flash,3,Miso Soup,1,$2.99,$2.99
camphoto_959030623.jpg,gemini-3-flash,4,Gyoza Deal Discount,,,$-2.00
camphoto_959030623.jpg,gemini-3-flash,5,Miso / Edamame Deal Discount,,,$-1.50
camphoto_959030623.jpg,claude-haiku-4.5,1,Chicken Katsu Curry,1,$9.69,$9.69
camphoto_959030623.jpg,claude-haiku-4.5,2,Tonkatsu BBQ Gyoza,1,$5.99,$5.99
camphoto_959030623.jpg,claude-haiku-4.5,3,Miso Soup,1,$2.99,$2.99
camphoto_959030623.jpg,claude-haiku-4.5,4,Gyoza Deal Supplement,1,$3.99,$3.99
camphoto_959030623.jpg,claude-haiku-4.5,5,Miso / Edamame Deal Supplement,1,$1.49,$1.49
camphoto_959030623.jpg,gpt-4o-mini,1,Chicken Katsu Curry,1,$9.69,$9.69
camphoto_959030623.jpg,gpt-4o-mini,2,Tonkatsu BBQ Gyoza,1,$5.99,$5.99
camphoto_959030623.jpg,gpt-4o-mini,3,Miso Soup,1,$2.99,$2.99
